DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,UNIQUE_KEY,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3,VEHICLE_TYPE_CODE_4,VEHICLE_TYPE_CODE_5
04/10/2018,10:05,MANHATTAN,10018,40.755867,-73.998215,"(40.755867, -73.998215)",10 AVENUE                       ,WEST 36 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,3878849,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/10/2018,10:05,QUEENS,11354,40.766914,-73.82379,"(40.766914, -73.82379)",,,144-11    34 AVENUE                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3878670,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,10:05,,,40.843994,-73.89752,"(40.843994, -73.89752)",3 AVENUE                        ,CROSS BRONX EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,3878536,PICK-UP TRUCK,,,,
04/10/2018,15:08,BRONX,10463,40.87883,-73.91738,"(40.87883, -73.91738)",,,13B       KNOLLS CRESCENT               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3879558,PASSENGER VEHICLE,,,,
04/10/2018,10:14,MANHATTAN,10032,40.842438,-73.93926,"(40.842438, -73.93926)",BROADWAY                        ,WEST 170 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3879145,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,10:20,BROOKLYN,11216,40.679634,-73.94959,"(40.679634, -73.94959)",NOSTRAND AVENUE                 ,HERKIMER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3879339,TK,SPORT UTILITY / STATION WAGON,,,
04/10/2018,10:20,,,40.700665,-74.01542,"(40.700665, -74.01542)",BROOKLYN BATTERY TUNNEL         ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3878755,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,10:20,,,40.82943,-73.94196,"(40.82943, -73.94196)",WEST 153 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3878313,PASSENGER VEHICLE,,,,
04/10/2018,10:21,MANHATTAN,10019,40.76432,-73.9772,"(40.76432, -73.9772)",WEST 57 STREET                  ,AVENUE OF THE AMERICAS,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3878327,TAXI,,,,
04/10/2018,10:28,BROOKLYN,11204,40.623013,-73.97676,"(40.623013, -73.97676)",DAHILL ROAD                     ,52 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3879011,TAXI,TAXI,,,
